case,qubits,setting,ordering,exact_delta,mps_delta,correct_sign,rigorous_certified,event_angle_lr_interval,event_angle_mr_interval,event_angle_decision,event_angle_certified,event_angle_certified_correct,sum_w_pair_width,sum_w_accepted,sum_w_accepted_correct,sqrt_sum_w_pair_width,sqrt_sum_w_accepted,sqrt_sum_w_accepted_correct,product_trace_pair_width,product_trace_accepted,product_trace_accepted_correct,rss_angle_pair_width,rss_angle_accepted,rss_angle_accepted_correct
karate,3,released,sorted,0.08641200710746022,0.08641200710746022,True,True,"[0.9088220515603759, 0.9088222515603758]","[0.995234058667836, 0.9952342586678359]",1,True,True,2e-07,True,True,2e-07,True,True,2e-07,True,True,2e-07,True,True
karate,3,released,spectral,0.08641200710745955,0.086412007107461,True,True,"[0.9088220515603757, 0.9088222515603755]","[0.9952340586678367, 0.9952342586678365]",1,True,True,2e-07,True,True,2e-07,True,True,2e-07,True,True,2e-07,True,True
karate,3,confirm,sorted,0.08641200710746022,0.08641200710746022,True,True,"[0.9088220515603759, 0.9088222515603758]","[0.995234058667836, 0.9952342586678359]",1,True,True,2e-07,True,True,2e-07,True,True,2e-07,True,True,2e-07,True,True
karate,3,confirm,spectral,0.08641200710745955,0.086412007107461,True,True,"[0.9088220515603757, 0.9088222515603755]","[0.9952340586678367, 0.9952342586678365]",1,True,True,2e-07,True,True,2e-07,True,True,2e-07,True,True,2e-07,True,True
karate,3,bond128,sorted,0.08641200710746022,0.08641200710746022,True,True,"[0.9088220515603759, 0.9088222515603758]","[0.995234058667836, 0.9952342586678359]",1,True,True,2e-07,True,True,2e-07,True,True,2e-07,True,True,2e-07,True,True
karate,3,bond128,spectral,0.08641200710745955,0.086412007107461,True,True,"[0.9088220515603757, 0.9088222515603755]","[0.9952340586678367, 0.9952342586678365]",1,True,True,2e-07,True,True,2e-07,True,True,2e-07,True,True,2e-07,True,True
karate,3,cutoff1e-4,sorted,0.08641200710746022,0.08641200710746022,True,True,"[0.9088220515603759, 0.9088222515603758]","[0.995234058667836, 0.9952342586678359]",1,True,True,2e-07,True,True,2e-07,True,True,2e-07,True,True,2e-07,True,True
karate,3,cutoff1e-4,spectral,0.08641200710745955,0.086412007107461,True,True,"[0.9088220515603757, 0.9088222515603755]","[0.9952340586678367, 0.9952342586678365]",1,True,True,2e-07,True,True,2e-07,True,True,2e-07,True,True,2e-07,True,True
karate,3,cutoff1e-5,sorted,0.08641200710746022,0.08641200710746022,True,True,"[0.9088220515603759, 0.9088222515603758]","[0.995234058667836, 0.9952342586678359]",1,True,True,2e-07,True,True,2e-07,True,True,2e-07,True,True,2e-07,True,True
karate,3,cutoff1e-5,spectral,0.08641200710745955,0.086412007107461,True,True,"[0.9088220515603757, 0.9088222515603755]","[0.9952340586678367, 0.9952342586678365]",1,True,True,2e-07,True,True,2e-07,True,True,2e-07,True,True,2e-07,True,True
chesapeake,7,released,sorted,-0.13421359145382505,-0.10866857935604612,True,False,"[0.0, 1.0]","[0.0, 1.0]",,False,False,0.21908049816315078,False,False,0.6612691320507499,False,False,0.6435840186901732,False,False,0.6492722552365879,False,False
chesapeake,7,released,spectral,-0.13421359145382672,-0.12179970632876225,True,False,"[0.0, 1.0]","[0.0, 1.0]",,False,False,0.19607945686500003,False,False,0.6249977678345054,False,False,0.6099554199434188,False,False,0.6148104392452419,False,False
chesapeake,7,confirm,sorted,-0.13421359145382505,-0.13603743450894779,True,False,"[0.037736244473962524, 1.0]","[0.19341666041979885, 0.984693599469545]",,False,False,0.009311284288643038,True,True,0.13516279781677293,True,True,0.13500169223036684,True,True,0.13505530686171516,True,True
chesapeake,7,confirm,spectral,-0.13421359145382672,-0.13609917517846248,True,False,"[0.13215346975714376, 1.0]","[0.2183935907491766, 0.9760559216526056]",,False,False,0.007585537067,True,True,0.12256735765396888,True,True,0.12245066603024182,True,True,0.12248951422208443,True,True
chesapeake,7,bond128,sorted,-0.13421359145382505,-0.13421359163771185,True,True,"[0.7982930304079402, 0.7982932304079401]","[0.6640794387702283, 0.6640796387702282]",-1,True,True,2e-07,True,True,2e-07,True,True,2e-07,True,True,2e-07,True,True
chesapeake,7,bond128,spectral,-0.13421359145382672,-0.13421359166704583,True,True,"[0.7982930304060545, 0.7982932304060544]","[0.6640794387390088, 0.6640796387390087]",-1,True,True,2e-07,True,True,2e-07,True,True,2e-07,True,True,2e-07,True,True
chesapeake,7,cutoff1e-4,sorted,-0.13421359145382505,-0.13603743450894779,True,False,"[0.037736244473962524, 1.0]","[0.19341666041979885, 0.984693599469545]",,False,False,0.009311284288643038,True,True,0.13516279781677293,True,True,0.13500169223036684,True,True,0.13505530686171516,True,True
chesapeake,7,cutoff1e-4,spectral,-0.13421359145382672,-0.13609917517846248,True,False,"[0.13215346975714376, 1.0]","[0.2183935907491766, 0.9760559216526056]",,False,False,0.007585537067,True,True,0.12256735765396888,True,True,0.12245066603024182,True,True,0.12248951422208443,True,True
